gx,gy,gz,ax,ay,az,tmp
0,0,0,0,0,0,36.53
590,-125,181,-166,-6,2013,30.58
773,-559,521,-283,-10,3348,29.24
1487,-1038,717,-313,-17,3770,28.75
1939,-1282,757,-324,-21,3884,28.57
488,-505,607,-329,-5,3926,28.50
122,-136,188,-321,-12,3953,28.47
-9,1,65,-323,-11,3947,28.45
-60,48,11,-327,-10,3944,28.44
-78,78,-2,-327,-17,3938,28.46
-80,82,-11,-335,-15,3942,28.47
-90,81,-19,-342,-17,3926,28.46
-91,81,-16,-335,-13,3927,28.43
-85,77,-14,-331,-13,3934,28.45
-87,81,-17,-327,-19,3946,28.46
-88,79,-17,-314,-24,3949,28.49
-90,73,-20,-318,-24,3959,28.47
-86,74,-14,-319,-11,3963,28.47
-87,76,-13,-332,-13,3944,28.50
-87,83,-16,-328,-20,3942,28.47
-86,83,-16,-333,-14,3960,28.48
-78,79,-13,-325,-4,3940,28.49
-80,79,-13,-328,2,3945,28.45
-86,79,-15,-322,-6,3939,28.49
-84,76,-12,-327,-5,3962,28.52
-86,75,-13,-326,-6,3949,28.50
-89,74,-14,-321,-9,3964,28.49
-92,77,-13,-334,-9,3968,28.49
-92,78,-16,-326,-16,3954,28.49
-87,76,-18,-331,-17,3948,28.48
-89,76,-20,-328,-5,3979,28.48
-84,80,-11,-329,-7,3969,28.49
-83,76,-11,-332,-10,3962,28.48
-87,73,-17,-331,-14,3953,28.48
-94,76,-9,-331,-14,3953,28.50
-91,80,-14,-329,-3,3956,28.51
-89,78,-7,-340,-6,3965,28.51
-86,81,-9,-329,-5,3949,28.53
-90,81,-13,-330,4,3941,28.51
-87,76,-17,-323,-1,3933,28.51
-86,75,-16,-320,-19,3950,28.50
-84,83,-10,-322,-16,3944,28.51
-87,79,-9,-329,-4,3945,28.50
-88,82,-8,-338,-7,3960,28.52
-89,80,-17,-329,-6,3950,28.53
-90,82,-15,-336,-4,3942,28.53
-88,78,-19,-335,-6,3948,28.53
-91,78,-10,-331,-6,3954,28.52
-85,76,-12,-332,-11,3962,28.53
-87,80,-13,-326,-10,3949,28.54
-86,79,-11,-331,-3,3932,28.55
-86,80,-16,-331,-7,3938,28.55
-86,78,-14,-329,-10,3951,28.54
-84,78,-15,-327,-10,3946,28.56
-84,84,-15,-330,-17,3942,28.56
-89,75,-16,-316,-11,3949,28.58
-85,78,-15,-306,-2,3959,28.56
-86,82,-16,-319,-7,3957,28.57
-86,79,-17,-321,-10,3950,28.56
-89,76,-19,-317,-3,3952,28.56
-90,78,-19,-322,-12,3960,28.55
-85,83,-19,-329,-4,3953,28.55
-85,77,-20,-314,-14,3956,28.57
-89,73,-19,-329,-12,3958,28.58
-87,81,-15,-331,-12,3949,28.58
-84,86,-13,-332,-5,3949,28.55
-84,74,-18,-330,-7,3970,28.55
-89,78,-12,-327,-17,3953,28.56
-85,77,-10,-326,-16,3961,28.58
-87,78,-16,-323,-10,3966,28.57
-89,82,-14,-327,-17,3957,28.56
-92,74,-15,-319,-10,3964,28.57
-88,78,-12,-320,-13,3967,28.57
-89,78,-17,-314,-13,3967,28.57
-86,85,-11,-315,-5,3964,28.58
-86,82,-14,-321,-16,3962,28.58
-91,78,-19,-319,-11,3951,28.57
-87,76,-15,-311,-14,3948,28.58
-85,77,-16,-316,-10,3952,28.58
-81,77,-17,-321,-7,3947,28.59
-85,74,-15,-324,11,3946,28.59
-85,75,-12,-318,-2,3951,28.60
-85,76,-14,-323,1,3961,28.60
-81,69,-14,-324,-5,3970,28.59
-86,73,-18,-333,-13,3953,28.59
-90,81,-14,-329,-8,3945,28.59
-94,76,-15,-332,-5,3953,28.61
-92,78,-15,-331,-6,3963,28.61
-92,74,-16,-328,-10,3966,28.59
-85,72,-15,-338,-18,3949,28.58
-82,71,-17,-332,-11,3941,28.59
-83,81,-20,-322,-17,3953,28.59
-86,84,-16,-331,-15,3952,28.60
-84,81,-19,-319,-17,3942,28.62
-86,78,-19,-330,-11,3941,28.62
-83,75,-16,-334,-5,3945,28.62
-83,76,-13,-322,-8,3952,28.59
-85,80,-13,-325,-10,3943,28.62
-87,79,-16,-326,-4,3953,28.60
-89,78,-14,-322,-3,3938,28.60
-87,76,-14,-315,-8,3955,28.62
-86,79,-15,-320,-13,3938,28.62
-83,79,-16,-321,-8,3931,28.61
-90,83,-15,-327,-8,3943,28.61
-86,81,-12,-333,-17,3937,28.62
-84,80,-9,-321,-14,3947,28.60
-84,77,-12,-329,-6,3952,28.61
-85,82,-12,-333,-1,3940,28.63
-88,81,-11,-334,-6,3940,28.63
-87,77,-14,-324,-12,3948,28.63
-87,72,-12,-328,-8,3932,28.65
-91,78,-13,-331,-2,3930,28.63
-87,70,-12,-330,-5,3948,28.62
-91,71,-13,-323,-6,3953,28.62
-86,72,-17,-322,1,3945,28.62
-90,79,-18,-323,-10,3938,28.62
-88,82,-17,-325,-1,3942,28.61
-93,88,-15,-324,9,3952,28.62
-93,83,-13,-332,2,3943,28.62
-88,87,-11,-330,-2,3948,28.63
-89,80,-14,-329,-12,3951,28.64
-85,76,-12,-326,-14,3956,28.65
-89,77,-14,-327,-18,3957,28.65
-88,77,-13,-329,-10,3962,28.64
-85,74,-16,-337,-15,3945,28.65
-86,75,-15,-328,-1,3953,28.63
-86,71,-16,-329,-5,3956,28.65
-89,71,-17,-328,7,3948,28.63
-86,79,-15,-331,-2,3947,28.64
-85,85,-14,-327,0,3962,28.62
-88,80,-16,-326,-10,3937,28.64
-83,78,-13,-326,5,3955,28.65
-86,71,-17,-314,1,3948,28.63
-85,86,-17,-315,1,3932,28.62
-91,74,-16,-322,-3,3948,28.65
-86,79,-14,-328,-11,3955,28.66
-89,75,-16,-327,-10,3968,28.68
-88,80,-12,-330,-11,3949,28.67
