gx,gy,gz,ax,ay,az,tmp
-85,80,-14,-335,7,3964,28.51
-88,72,-16,-336,12,3970,28.52
-85,74,-10,-332,9,3973,28.51
-84,80,-13,-335,-4,3970,28.52
-82,76,-16,-336,1,3952,28.50
-85,74,-15,-329,2,3956,28.50
-86,76,-18,-331,-3,3952,28.52
-86,76,-18,-331,0,3952,28.53
-81,74,-13,-337,7,3944,28.52
-82,78,-15,-342,4,3956,28.53
-87,73,-18,-340,15,3953,28.52
-89,73,-19,-333,12,3955,28.52
-89,76,-19,-321,7,3965,28.50
-89,79,-17,-334,1,3958,28.53
-82,76,-14,-338,8,3941,28.51
-86,69,-9,-326,9,3956,28.51
-85,76,-15,-334,-9,3954,28.51
-88,77,-14,-330,9,3956,28.51
-83,77,-13,-322,10,3955,28.52
-83,79,-15,-338,-4,3959,28.53
-81,78,-17,-336,5,3964,28.52
-82,78,-19,-335,4,3946,28.54
-87,71,-17,-334,-2,3962,28.50
-89,70,-11,-336,4,3959,28.51
-84,77,-14,-335,13,3958,28.52
-88,79,-14,-339,9,3953,28.50
-88,77,-17,-333,2,3968,28.50
-84,87,-16,-333,9,3972,28.49
-87,89,-19,-345,14,3953,28.50
-91,76,-18,-334,11,3958,28.49
-93,73,-13,-334,2,3961,28.49
-89,75,-17,-345,0,3949,28.51
-95,73,-17,-341,0,3946,28.52
-91,73,-18,-343,-1,3948,28.51
-85,74,-16,-331,2,3941,28.51
-86,74,-18,-335,4,3932,28.49
-89,79,-21,-334,0,3935,28.48
-92,77,-19,-336,6,3958,28.51
-90,79,-19,-340,-2,3957,28.52
-86,82,-18,-338,-4,3940,28.53
-93,81,-21,-334,2,3962,28.52
-89,81,-17,-332,-4,3955,28.53
-88,65,-18,-325,2,3949,28.52
-87,63,-18,-329,12,3956,28.52
-85,68,-17,-332,6,3971,28.52
-86,77,-14,-331,2,3961,28.51
-91,81,-13,-326,10,3961,28.50
-87,81,-15,-322,15,3946,28.49
-87,83,-12,-339,16,3953,28.52
-86,75,-13,-328,3,3963,28.52
-92,71,-12,-339,1,3955,28.51
-90,74,-14,-334,2,3951,28.54
-89,74,-20,-343,8,3949,28.53
-87,76,-16,-322,1,3960,28.51
-87,90,-11,-329,-6,3947,28.51
-83,95,-14,-325,-2,3971,28.51
-89,91,-15,-325,14,3956,28.51
-82,83,-15,-346,4,3949,28.51
-83,83,-13,-356,0,3946,28.50
-85,73,-12,-344,-11,3956,28.50
-90,74,-13,-336,-1,3960,28.48
-89,69,-15,-339,-12,3982,28.50
-89,75,-16,-340,-13,3963,28.51
-91,72,-17,-340,-10,3958,28.48
-88,74,-14,-344,3,3964,28.51
-86,74,-17,-352,-2,3948,28.52
-87,73,-20,-342,4,3942,28.51
-88,75,-20,-334,4,3947,28.51
-91,71,-20,-326,1,3946,28.52
-90,73,-18,-330,4,3953,28.52
-86,72,-18,-327,13,3954,28.50
-78,76,-19,-335,20,3961,28.52
-85,73,-15,-333,13,3945,28.52
-84,79,-16,-323,14,3948,28.52
-87,76,-14,-323,17,3960,28.49
-86,79,-18,-324,12,3968,28.50
-84,77,-18,-328,16,3962,28.50
-84,83,-15,-339,6,3958,28.51
-84,77,-9,-337,7,3953,28.51
-82,78,-12,-330,5,3941,28.53
-89,80,-14,-319,-2,3946,28.52
-85,81,-21,-324,14,3923,28.51
-85,83,-19,-330,5,3946,28.52
-87,84,-21,-335,-3,3963,28.50
-81,81,-16,-340,-8,3968,28.50
-90,79,-16,-339,-4,3965,28.50
-82,74,-21,-341,6,3958,28.50
-89,63,-25,-335,2,3945,28.51
-86,63,-18,-335,-4,3941,28.50
-88,73,-20,-347,7,3947,28.51
-88,76,-19,-334,14,3945,28.51
-86,86,-15,-332,-1,3955,28.50
-88,91,-14,-333,-3,3959,28.50
-88,92,-17,-328,-5,3951,28.51
-89,80,-15,-333,2,3948,28.51
-88,66,-21,-324,10,3957,28.52
-91,65,-18,-330,9,3962,28.52
-85,59,-13,-320,17,3955,28.53
-86,61,-12,-328,5,3951,28.51
-86,74,-20,-334,0,3962,28.52
-83,77,-20,-330,0,3948,28.52
-90,76,-17,-340,-2,3951,28.52
-87,85,-16,-326,2,3952,28.49
-88,81,-15,-315,8,3955,28.51
-86,79,-13,-326,8,3962,28.51
-90,78,-13,-329,8,3951,28.52
-87,71,-12,-343,5,3953,28.52
-81,75,-15,-346,-2,3956,28.51
-84,71,-17,-340,4,3958,28.49
-87,73,-17,-335,-1,3954,28.50
-85,81,-16,-325,8,3946,28.51
-89,80,-12,-330,-1,3956,28.51
-86,75,-12,-339,7,3950,28.49
-93,82,-17,-331,3,3941,28.48
-85,81,-16,-336,6,3961,28.52
-85,74,-16,-328,1,3957,28.49
-88,74,-18,-331,4,3956,28.51
-90,73,-17,-327,2,3964,28.51
-88,82,-17,-328,-2,3960,28.52
-84,77,-17,-331,1,3943,28.51
-84,76,-16,-332,4,3950,28.50
-84,78,-16,-335,-1,3952,28.50
-78,73,-18,-332,-1,3953,28.49
-88,76,-19,-336,9,3950,28.50
-83,80,-18,-334,11,3961,28.49
-86,88,-18,-336,3,3968,28.48
-86,84,-16,-345,11,3965,28.50
-89,78,-14,-339,-1,3973,28.51
-88,78,-20,-341,2,3961,28.52
-90,72,-14,-337,-5,3955,28.52
-82,78,-19,-337,-9,3968,28.48
-82,78,-13,-338,-5,3965,28.51
-81,80,-13,-345,11,3943,28.49
-85,75,-13,-337,-8,3947,28.51
-85,82,-11,-340,-1,3946,28.50
-88,83,-11,-343,-6,3952,28.50
-92,84,-15,-342,5,3945,28.51
-89,79,-17,-343,3,3959,28.51
-83,71,-21,-335,4,3966,28.52
-84,75,-18,-330,-1,3950,28.52
-81,76,-15,-328,3,3948,28.52
-83,76,-13,-339,-2,3962,28.53
-84,69,-16,-336,5,3960,28.53
-85,76,-20,-332,8,3959,28.53
-91,83,-19,-338,7,3940,28.54
-89,86,-21,-324,-4,3947,28.50
-86,79,-17,-327,-2,3949,28.52
-79,88,-13,-333,1,3952,28.53
-83,79,-12,-329,5,3953,28.52
-84,78,-11,-330,4,3951,28.51
-86,81,-18,-329,6,3938,28.50
-85,78,-22,-335,-1,3939,28.49
-86,80,-19,-329,1,3952,28.51
-86,74,-16,-329,14,3945,28.52
-80,76,-17,-337,7,3954,28.53
-80,82,-14,-344,-6,3941,28.53
-88,83,-12,-341,-6,3945,28.54
-86,78,-18,-336,5,3936,28.54
-90,80,-19,-338,3,3942,28.53
-86,76,-19,-345,15,3940,28.53
-87,76,-18,-343,8,3957,28.52
-92,75,-17,-341,-2,3954,28.51
-87,74,-16,-336,1,3948,28.52
-81,74,-19,-333,2,3945,28.52
-80,73,-18,-333,3,3949,28.53
-83,77,-17,-334,2,3966,28.52
-88,77,-16,-330,-3,3961,28.52
-86,75,-15,-328,6,3964,28.52
-86,81,-14,-327,2,3958,28.50
-89,82,-13,-329,1,3961,28.52
-83,81,-15,-329,13,3963,28.52
-87,83,-18,-336,15,3964,28.54
-86,84,-16,-329,1,3972,28.51
-86,75,-16,-332,0,3955,28.51
-88,79,-18,-333,13,3951,28.51
-87,73,-15,-336,11,3943,28.51
-85,80,-14,-331,5,3946,28.51
-86,78,-15,-334,-4,3960,28.51
-86,74,-12,-348,-14,3960,28.51
-87,80,-10,-340,-3,3966,28.51
-90,85,-16,-340,-6,3969,28.53
